2.720000	2.720000	S
2.720000	2.930000	1
2.728000	2.728000	B
2.880000	2.880000	S
3.070000	3.710000	2
3.080000	3.080000	S
3.082000	3.082000	B
3.340000	3.340000	S
3.530000	3.530000	S
3.894000	3.894000	B
3.904000	3.904000	B
3.919000	3.919000	B
3.930000	4.340000	3
4.090000	4.090000	S
4.560000	5.140000	4
4.566000	4.566000	B
4.890000	4.890000	S
5.056000	5.056000	B
5.735000	5.735000	B
5.740000	5.770000	5
5.910000	5.930000	6
6.110000	6.220000	7
6.121000	6.121000	B
6.140000	6.140000	S
6.390000	6.590000	8
6.404000	6.404000	B
6.571000	6.571000	B
6.750000	6.890000	9
6.760000	6.760000	S
6.929000	6.929000	B
6.935000	6.935000	B
8.080000	8.220000	10
8.095000	8.095000	B
8.470000	8.680000	11
8.472000	8.472000	B
8.490000	8.490000	S
8.790000	9.220000	12
8.800000	8.800000	S
9.950000	10.110000	13
9.970000	9.970000	B
10.090000	10.090000	S
10.280000	10.440000	14
10.290000	10.290000	S
10.300000	10.300000	B
10.550000	10.690000	15
10.561000	10.561000	B
10.570000	10.570000	S
10.840000	10.840000	S
10.840000	10.870000	16
10.857000	10.857000	B
10.937000	10.937000	B
11.060000	11.060000	B
11.060000	11.150000	17
11.110000	11.110000	S
11.213000	11.213000	B
13.090000	13.360000	18
13.111000	13.111000	B
13.120000	13.120000	S
13.570000	13.570000	S
13.570000	13.950000	19
13.583000	13.583000	B
13.710000	13.710000	S
13.727000	13.727000	B
13.982000	13.982000	B
13.990000	13.990000	B
14.070000	14.190000	20
14.150000	14.150000	S
14.510000	14.710000	21
14.530000	14.530000	B
14.623000	14.623000	B
14.860000	14.870000	22
16.990000	17.100000	23
17.031000	17.031000	B
17.130000	17.130000	B
17.310000	17.390000	24
17.330000	17.330000	S
17.332000	17.332000	B
17.501000	17.501000	B
17.540000	17.660000	25
17.605000	17.605000	B
17.638000	17.638000	B
17.809000	17.809000	B
17.830000	17.930000	26
17.880000	17.880000	S
18.068000	18.068000	B
18.100000	18.270000	27
18.240000	18.240000	S
18.300000	18.300000	B
18.309000	18.309000	B
18.400000	18.550000	28
19.540000	19.550000	29
19.690000	19.730000	30
19.708000	19.708000	B
19.812000	19.812000	B
