2.710000	5.200000	1
5.700000	7.140000	2
8.050000	9.280000	3
9.940000	11.230000	4
13.070000	15.010000	5
16.980000	19.010000	6
19.310000	21.290000	7
21.630000	22.050000	8
23.460000	26.960000	9
27.810000	29.200000	10
29.670000	31.600000	11
32.320000	33.340000	12
34.100000	35.390000	13
35.860000	38.440000	14
39.250000	41.320000	15
42.200000	44.290000	16
45.320000	46.790000	17
48.680000	50.420000	18
52.240000	54.390000	19
55.620000	57.780000	20
58.490000	59.220000	21
59.990000	61.960000	22
62.660000	64.630000	23
65.380000	68.800000	24
69.600000	71.910000	25
72.320000	73.280000	26
73.600000	76.000000	27
76.860000	78.290000	28
79.390000	80.820000	29
81.770000	84.030000	30
84.960000	85.760000	31
86.160000	89.400000	32
90.870000	92.270000	33
92.730000	94.120000	34
94.940000	96.240000	35
97.130000	99.110000	36
99.840000	101.390000	37
102.010000	102.970000	38
103.520000	104.900000	39
105.960000	107.240000	40
107.870000	108.280000	41
109.370000	111.410000	42
112.500000	114.650000	43
115.130000	117.060000	44
117.930000	118.980000	45
119.380000	120.750000	46
121.290000	123.700000	47
124.620000	126.050000	48
126.750000	128.580000	49
129.420000	130.490000	50
130.870000	132.330000	51
132.930000	136.740000	52
144.340000	144.340000	[End]
